关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
纬度,latitude,位置的纬度。例如37.42242（WGS 84）。,The latitude of a location. For example 37.42242 (WGS 84).,"GeoCoordinates, Place","Number, Text"
学习资源类型,learningResourceType,表征学习资源的主要类型或种类。例如，“演示”，“讲义”。,"The predominant type or kind characterizing the learning resource. For example, 'presentation', 'handout'.",CreativeWork,Text
租期,leaseLength,某些住宿的租约期限，特定于某些要约或在某些情况下是该物业固有的。,"Length of the lease for some Accommodation, either particular to some Offer or in some cases intrinsic to the property.","Accommodation, Offer, RealEstateListing","Duration, QuantitativeValue"
正式名称,legalName,组织的正式名称，例如注册公司名称。,"The official name of the organization, e.g. the registered company name.",Organization,Text
法律地位,legalStatus,药物或补品的法律地位，包括所有适用的受控物质时间表。,"The drug or supplement's legal status, including any controlled substance schedules that apply.","DietarySupplement, Drug, MedicalEntity","DrugLegalStatus, MedicalEnumeration, Text"
立法适用,legislationApplies,表示该立法（或立法的一部分）以某种方式在不同的立法环境中转移了另一项立法。这是一个信息链接，没有法律价值。对于具有法律约束力的换位链接，请使用legalTransposes属性。例如，欧盟成员国的内容丰富的综合法“适用”其中实施的欧洲指令的综合版本。,"Indicates that this legislation (or part of a legislation) somehow transfers another legislation in a different legislative context. This is an informative link, and it has no legal value. For legally-binding links of transposition, use the legislationTransposes property. For example an informative consolidated law of a European Union's member state ""applies"" the consolidated version of the European Directive implemented in it.",Legislation,Legislation
立法变更,legislationChanges,该立法改变的另一项立法。这包括修订，替换，更正，废除或其他类型的更改的概念。这可能是直接更改（文本或非文本修订），也可能是间接更改。该属性用于表示两个动作之间存在更改关系，而不是用于显示更改结果的文本的合并版本。对于合并关系，请使用legacyConsolidates属性。,"Another legislation that this legislation changes. This encompasses the notions of amendment, replacement, correction, repeal, or other types of change. This may be a direct change (textual or non-textual amendment) or a consequential or indirect change. The property is to be used to express the existence of a change relationship between two acts rather than the existence of a consolidated version of the text that shows the result of the change. For consolidation relationships, use the legislationConsolidates property.",Legislation,Legislation
立法合并,legislationConsolidates,表示在此合并法规中考虑的另一项法规（通常是修改法规的编辑过程的产物）。应多次使用此属性，以同时引用原始版本或先前的合并版本以及进行更改的法规。,"Indicates another legislation taken into account in this consolidated legislation (which is usually the product of an editorial process that revises the legislation). This property should be used multiple times to refer to both the original version or the previous consolidated version, and to the legislations making the change.",Legislation,Legislation
立法日期,legislationDate,立法通过或签署的日期。这是该文本正式被承认为立法的日期，即使该文本甚至可能尚未发布或生效。,"The date of adoption or signature of the legislation. This is the date at which the text is officially aknowledged to be a legislation, even though it might not even be published or in force.",Legislation,Date
立法日期版本,legislationDateVersion,所提供的法律描述有效的时间点（例如：在查看2016-04-07（= dateVersion）上的法律时，我得到了“国家《 2015年保险供款法》”）,"The point-in-time at which the provided description of the legislation is valid (e.g. : when looking at the law on the 2016-04-07 (= dateVersion), I get the consolidation of 2015-04-12 of the ""National Insurance Contributions Act 2015"")",Legislation,Date
立法标识符,legislationIdentifier,立法的标识符。它可以是基于字符串的标识符，例如欧盟级别的CELEX或法国的NOR，也可以是基于Web的URL / URI标识符，例如ELI（欧洲立法标识符）或URN-Lex。,"An identifier for the legislation. This can be either a string-based identifier, like the CELEX at EU level or the NOR in France, or a web-based, URL/URI identifier, like an ELI (European Legislation Identifier) or an URN-Lex.",Legislation,"Text, URL"
立法管辖权,legislationJurisdiction,立法起源的司法管辖区。,The jurisdiction from which the legislation originates.,Legislation,"AdministrativeArea, Text"
立法法律力量,legislationLegalForce,该立法是当前有效，无效或部分有效。,"Whether the legislation is currently in force, not in force, or partially in force.",Legislation,LegalForceStatus
立法法律价值,legislationLegalValue,该立法文件的法律价值。相同的法规可以写入具有不同法律价值的多个文件中。通常，经过数字签名的PDF具有比同一行为的HTML文件“更强”的法律价值。,"The legal value of this legislation file. The same legislation can be written in multiple files with different legal values. Typically a digitally signed PDF have a ""stronger"" legal value than the HTML file of the same act.",LegislationObject,LegalValueLevel
立法通过,legislationPassedBy,最初通过或制定法律的人或组织：通常是议会（对于主要立法）或政府（对于次要立法）。这表明法律的“合法作者”，而不是其自然作者。,"The person or organization that originally passed or made the law : typically parliament (for primary legislation) or government (for secondary legislation). This indicates the ""legal author"" of the law, as opposed to its physical author.",Legislation,"Organization, Person"
立法负责,legislationResponsible,对立法负有某种责任的个人或组织。通常情况下，负责制定法律的部门或负责该立法的潜在人员在法律发布后负责制定。,"An individual or organization that has some kind of responsibility for the legislation. Typically the ministry who is/was in charge of elaborating the legislation, or the adressee for potential questions about the legislation once it is published.",Legislation,"Organization, Person"
立法移置,legislationTransposes,表示该立法（或立法的一部分）通过采取适当的实施措施，实现了另一项立法设定的目标。通常，欧盟成员国或地区的某些法规会转而采用欧洲指令。这表明这两项法律之间具有法律约束力。,"Indicates that this legislation (or part of legislation) fulfills the objectives set by another legislation, by passing appropriate implementation measures. Typically, some legislations of European Union's member states or regions transpose European Directives. This indicates a legally binding link between the 2 legislations.",Legislation,Legislation
立法类型,legislationType,立法的类型。值的示例取决于国家/地区，例如“法律”，“法案”，“指令”，“法令”，“法规”，“法定文书”，“组织意向书”，“大公r”等。,"The type of the legislation. Examples of values are ""law"", ""act"", ""directive"", ""decree"", ""regulation"", ""statutory instrument"", ""loi organique"", ""règlement grand-ducal"", etc., depending on the country.",Legislation,"CategoryCode, Text"
林雷码,leiCode,组织标识符，可唯一标识ISO 17442中定义的法人实体。,An organization identifier that uniquely identifies a legal entity as defined in ISO 17442.,Organization,Text
贷方,lender,参与者的子属性。借出对象的人。,A sub property of participant. The person that lends the object being borrowed.,BorrowAction,"Organization, Person"
小,lesser,定性值的这种排序关系表明主题比对象小。,This ordering relation for qualitative values indicates that the subject is lesser than the object.,QualitativeValue,QualitativeValue
小或等于,lesserOrEqual,定性值的这种排序关系表明主题小于或等于对象。,This ordering relation for qualitative values indicates that the subject is lesser than or equal to the object.,QualitativeValue,QualitativeValue
写信人,letterer,在艺术品上添加刻字（包括语音气球和声音效果）的个人。,"The individual who adds lettering, including speech balloons and sound effects, to artwork.","ComicIssue, ComicStory, VisualArtwork",Person
执照,license,适用于此内容的许可文档，通常由URL指示。,"A license document that applies to this content, typically indicated by URL.",CreativeWork,"CreativeWork, URL"
线,line,一条线是由两个或多个点组成的点对点路径。一条线表示为一系列由空格隔开的两个或多个点对象。,A line is a point-to-point path consisting of two or more points. A line is expressed as a series of two or more point objects separated by space.,GeoShape,Text
链接关系,linkRelationship,表示Web链接的关系类型。,Indicates the relationship type of a Web link.,LinkRole,Text
实时博客更新,liveBlogUpdate,LiveBlog的更新。,An update to the LiveBlog.,LiveBlogPosting,BlogPosting
贷款抵押授权金额,loanMortgageMandateAmount,可以在以后阶段转换为适当抵押的抵押授权额。,Amount of mortgage mandate that can be converted into a proper mortgage at a later stage.,MortgageLoan,MonetaryAmount
贷款还款额,loanPaymentAmount,一次付款要支付的金额。,The amount of money to pay in a single payment.,RepaymentSpecification,MonetaryAmount
贷款还款频率,loanPaymentFrequency,到期付款频率，即两次付款之间的月数。这被定义为频率，即一段时间的倒数。,"Frequency of payments due, i.e. number of months between payments. This is defined as a frequency, i.e. the reciprocal of a period of time.",RepaymentSpecification,Number
贷款还款形式,loanRepaymentForm,一种偿还先前从贷方借来的钱的形式。还款通常采取定期付款的形式，通常包括部分本金加上每次付款的利息。,A form of paying back money previously borrowed from a lender. Repayment usually takes the form of periodic payments that normally include part principal plus interest in each payment.,LoanOrCredit,RepaymentSpecification
贷款期限,loanTerm,贷款或信贷协议的期限。,The duration of the loan or credit agreement.,LoanOrCredit,QuantitativeValue
贷款类型,loanType,贷款或信贷的类型。,The type of a loan or credit.,LoanOrCredit,"Text, URL"
位置,location,例如事件发生的位置，组织所在的位置或操作发生的位置。,"The location of for example where the event is happening, an organization is located, or where an action takes place.","Action, Event, Organization","Place, PostalAddress, Text, VirtualLocation"
位置已创建,locationCreated,创建CreativeWork的位置，该位置可能与CreativeWork中描述的位置不同。,"The location where the CreativeWork was created, which may not be the same as the location depicted in the CreativeWork.",CreativeWork,Place
住宿单位说明,lodgingUnitDescription,住宿单位的完整说明。,A full description of the lodging unit.,LodgingReservation,Text
住宿单位类型,lodgingUnitType,单位类型的文字说明（包括套房与房间，床的大小等）。,"Textual description of the unit type (including suite vs. room, size of bed, etc.).",LodgingReservation,"QualitativeValue, Text"
商标,logo,关联的徽标。,An associated logo.,"Brand, Organization, Place, Product, Service","ImageObject, URL"
经度,longitude,位置的经度。例如-122.08585（WGS 84）。,The longitude of a location. For example -122.08585 (WGS 84).,"GeoCoordinates, Place","Number, Text"
失败者,loser,参与者的子属性。行动的失败者。,A sub property of participant. The loser of the action.,WinAction,Person
低价,lowPrice,所有报价中的最低价格使用指南：使用值从0123456789（Unicode“数字零”（U + 0030）到“数字九”（U + 0039）），而不是表面上类似的Unicode符号。 （Unicode'FULL STOP'（U + 002E））而不是'，'表示小数点。避免将这些符号用作可读性分隔符。,"The lowest price of all offers available.Usage guidelines:Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.",AggregateOffer,"Number, Text"
作词家,lyricist,写词的人。,The person who wrote the words.,MusicComposition,Person
歌词,lyrics,歌曲中的词。,The words in the song.,MusicComposition,CreativeWork
页面主要内容,mainContentOfPage,指示此网页元素是否是页面的主要主题。,Indicates if this web page element is the main subject of the page.,WebPage,WebPageElement
主要实体,mainEntity,指示某个页面或其他CreativeWork中描述的主要实体。,Indicates the primary entity described in some page or other CreativeWork.,CreativeWork,Thing
页面的主要实体,mainEntityOfPage,指示此内容是所描述的主要实体的页面（或其他CreativeWork）。有关详细信息，请参见背景说明。,Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details.,Thing,"CreativeWork, URL"
维护者,maintainer,数据集，软件包（SoftwareApplication）或其他项目的维护者。维护者是管理某些（通常是复杂的）工件的贡献和/或发布的人员或组织。软件和数据的分发通常基于“上游”源。当维护者应用于某事物的特定版本时，例如特定的版本或数据集的包装，上游源总是有不同的维护者。 isBasedOn属性可用于指示数据集之间的此类关系，以使不同的维护角色清晰明了。类似地，就软件而言，程序包可能具有专门的维护人员，他们致力于集成到软件发行版（如Ubuntu）中，以及基础工作的上游维护人员。,"A maintainer of a Dataset, software package (SoftwareApplication), or other Project. A maintainer is a Person or Organization that manages contributions to, and/or publication of, some (typically complex) artifact. It is common for distributions of software and data to be based on ""upstream"" sources. When maintainer is applied to a specific version of something e.g. a particular version or packaging of a Dataset, it is always  possible that the upstream source has a different maintainer. The isBasedOn property can be used to indicate such relationships between datasets to make the different maintenance roles clear. Similarly in the case of software, a package may have dedicated maintainers working on integration into software distributions such as Ubuntu, as well as upstream maintainers of the underlying work.",CreativeWork,"Organization, Person"
报价,makesOffer,指向组织或个人提供的产品或服务的指针。,A pointer to products or services offered by the organization or person.,"Organization, Person",Offer
制造商,manufacturer,产品的制造商。,The manufacturer of the product.,"DietarySupplement, Drug, Product",Organization
地图,map,地点地图的网址。,A URL to a map of the place.,Place,URL
地图类型,mapType,从MapCategoryType枚举中指示地图的类型。,"Indicates the kind of Map, from the MapCategoryType Enumeration.",Map,MapCategoryType
地图,maps,地点地图的网址。,A URL to a map of the place.,Place,URL
误差范围,marginOfError,用于观察的marginOfError。,A marginOfError for an Observation.,Observation,DateTime
标头,masthead,对于NewsMediaOrganization，是指向标头页面或列出顶级编辑管理页面的链接。,"For a NewsMediaOrganization, a link to the masthead page or a page listing top editorial management.",NewsMediaOrganization,"CreativeWork, URL"
材料,material,一种由某物制成的材料，例如 皮革，羊毛，棉，纸。,"A material that something is made from, e.g. leather, wool, cotton, paper.","CreativeWork, Product","Product, Text, URL"
物质范围,materialExtent,被描述的材料的数量或它们所占据的物理空间的表达。,The quantity of the materials being described or an expression of the physical space they occupy.,CreativeWork,"QuantitativeValue, Text"
最高价,maxPrice,价格是范围内的最高价格。,The highest price if the price is a range.,PriceSpecification,Number
最大值,maxValue,某些特征或特性的上限值。,The upper value of some characteristic or property.,"MonetaryAmount, PropertyValue, PropertyValueSpecification, QuantitativeValue",Number
最大参加人数,maximumAttendeeCapacity,可以参加活动或地点的个人总数。,The total number of individuals that may attend an event or venue.,"Event, Place",Integer
最大招生,maximumEnrollment,可以注册该计划的最大学生人数。,The maximum number of students who may be enrolled in the program.,EducationalOccupationalProgram,Integer
最大摄入量,maximumIntake,根据特定推荐机构的定义，针对特定人群的这种补充剂的推荐摄入量。,Recommended intake of this supplement for a given population as defined by a specific recommending authority.,"DietarySupplement, Drug, DrugStrength, Substance",MaximumDoseSchedule
最大参加人数,maximumPhysicalAttendeeCapacity,事件eventAttendanceMode为OfflineEventAttendanceMode（或在MixedEventAttendanceMode情况下为脱机方面）的事件的最大物理出席者容量。,"The maximum physical attendee capacity of an Event whose eventAttendanceMode is OfflineEventAttendanceMode (or the offline aspects, in the case of a MixedEventAttendanceMode).",Event,Integer
最大虚拟与会者容量,maximumVirtualAttendeeCapacity,EventAttendanceMode为OnlineEventAttendanceMode（或在线方面，如果为MixedEventAttendanceMode）的事件的最大物理出席者容量。,"The maximum physical attendee capacity of an Event whose eventAttendanceMode is OnlineEventAttendanceMode (or the online aspects, in the case of a MixedEventAttendanceMode).",Event,Integer
餐饮服务,mealService,将提供或可供购买的餐食的说明。,Description of the meals that will be provided or available for purchase.,Flight,Text
测得的特性,measuredProperty,观测值的measuredProperty，可以是schema.org属性，也可以是其他RDF兼容系统的属性，例如W3C RDF数据多维数据集或schema.org扩展，例如GS1。,"The measuredProperty of an Observation, either a schema.org property, a property from other RDF-compatible systems e.g. W3C RDF Data Cube, or schema.org extensions such as GS1's.",Observation,Property
测量值,measuredValue,观测值的实测值。,The measuredValue of an Observation.,Observation,DataType
测量技术,measurementTechnique,数据集（或数据下载，数据目录）中使用的一种或多种技术，与用于测量相应变量的方法相对应（使用variableMeasured描述）。这是面向科学和学术数据集的发布，但可能具有更广泛的适用性。例如，如果variableMeasured为：分子浓度，测量技术，则可能为：“质谱”或“ nmr光谱”或“比色法”或“ “免疫荧光”。如果变量Measured是“抑郁等级”，则测量技术可以是“ Zung Scale”或“ HAM-D”或“贝克抑郁清单”。如果为某些给定数据对象记录了多个variableMeasured属性，请使用PropertyValue为每个变量测量并附加相应的测量技术。,"A technique or technology used in a Dataset (or DataDownload, DataCatalog),corresponding to the method used for measuring the corresponding variable(s) (described using variableMeasured). This is oriented towards scientific and scholarly dataset publication but may have broader applicability; it is not intended as a full representation of measurement, but rather as a high level summary for dataset discovery.For example, if variableMeasured is: molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"".If the variableMeasured is ""depression rating"", the measurementTechnique could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".If there are several variableMeasured properties recorded for some given data object, use a PropertyValue for each variableMeasured and attach the corresponding measurementTechnique.","DataCatalog, DataDownload, Dataset, PropertyValue","Text, URL"
作用机制,mechanismOfAction,药物或补品通过其产生药理作用的特定生化相互作用。,The specific biochemical interaction through which this drug or supplement produces its pharmacological effect.,"DietarySupplement, Drug",Text
媒体真实性类别,mediaAuthenticityCategory,指示媒体对象的MediaManipulationRatingEnumeration分类（在如何发布或共享的上下文中）。,Indicates a MediaManipulationRatingEnumeration classification of a media object (in the context of how it was published or shared).,MediaReview,MediaManipulationRatingEnumeration
中位数,median,中值。,The median value.,QuantitativeValueDistribution,Number
医学专业,medicalSpecialty,提供者的医学专业。,A medical specialty of the provider.,"Hospital, MedicalClinic, MedicalOrganization, Physician",MedicalSpecialty
药品系统,medicineSystem,包含此MedicalEntity的医学系统，例如“循证医学”，“顺势疗法”，“整脊疗法”等。,"The system of medicine that includes this MedicalEntity, for example 'evidence-based', 'homeopathic', 'chiropractic', etc.",MedicalEntity,MedicineSystem
符合排放标准,meetsEmissionStandard,表示车辆符合相应的排放标准。,Indicates that the vehicle meets the respective emission standard.,Vehicle,"QualitativeValue, Text, URL"
会员,member,组织或计划成员的成员。组织可以是组织的成员； ProgramMembership通常是针对个人的。,A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals.,"Organization, ProgramMembership","Organization, Person"
成员,memberOf,该人员或组织所属的组织（或ProgramMembership）。,An Organization (or ProgramMembership) to which this Person or Organization belongs.,"Organization, Person","Organization, ProgramMembership"
成员,members,该组织的成员。,A member of this organization.,"Organization, ProgramMembership","Organization, Person"
会员号码,membershipNumber,成员身份的唯一标识符。,A unique identifier for the membership.,ProgramMembership,Text
获得的会员积分,membershipPointsEarned,会员获得的会员积分数。如有必要，可以使用unitText来表示发出积分的单位（例如星号，英里等）。,"The number of membership points earned by the member. If necessary, the unitText can be used to express the units the points are issued in. (e.g. stars, miles, etc.)",ProgramMembership,"Number, QuantitativeValue"
内存需求,memoryRequirements,最低内存要求。,Minimum memory requirements.,SoftwareApplication,"Text, URL"
提及,mentions,表示CreativeWork包含对概念的引用，但不一定涉及概念。,"Indicates that the CreativeWork contains a reference to, but is not necessarily about a concept.",CreativeWork,Thing
菜单,menu,实际菜单可以是结构化表示形式，文本形式，也可以是菜单的URL。,"Either the actual menu as a structured representation, as text, or a URL of the menu.",FoodEstablishment,"Menu, Text, URL"
菜单添加,menuAddOn,可以添加到此菜单项的其他菜单项，例如沙拉配菜或薯条配菜。此外，它可以是一个菜单部分，其中包含该菜单项允许的附加菜单项。,Additional menu item(s) such as a side dish of salad or side order of fries that can be added to this menu item. Additionally it can be a menu section containing allowed add-on menu items for this menu item.,MenuItem,"MenuItem, MenuSection"
商人,merchant,“商人”是“卖方”的过时术语。,'merchant' is an out-dated term for 'seller'.,Order,"Organization, Person"
商户退货日,merchantReturnDays,vendorReturnDays属性指示相关商人退货政策适用的天数（自购买起）。,The merchantReturnDays property indicates the number of days (from purchase) within which relevant merchant return policy is applicable.,MerchantReturnPolicy,Integer
商户退货链接,merchantReturnLink,通过URL指示网页或服务，以返回产品。,"Indicates a Web page or service by URL, for product return.",MerchantReturnPolicy,URL
邮件附件,messageAttachment,邮件附带的CreativeWork。,A CreativeWork attached to the message.,Message,CreativeWork
里程里程表,mileageFromOdometer,从里程表中读取的特定车辆自首次生产以来的总行驶距离。典型单位代码：KMT（公里），SMI（法定英里）,"The total distance travelled by the particular vehicle since its initial production, as read from its odometer.Typical unit code(s): KMT for kilometers, SMI for statute miles",Vehicle,QuantitativeValue
最低价,minPrice,如果价格是范围内的最低价格。,The lowest price if the price is a range.,PriceSpecification,Number
最小值,minValue,某些特性或属性的较低值。,The lower value of some characteristic or property.,"MonetaryAmount, PropertyValue, PropertyValueSpecification, QuantitativeValue",Number
最低应付金额,minimumPaymentDue,目前所需的最低付款额。,The minimum payment required at this time.,Invoice,"MonetaryAmount, PriceSpecification"
任务覆盖优先政策,missionCoveragePrioritiesPolicy,对于NewsMediaOrganization，是关于报道优先级的声明，包括有关问题的任何公共议程或立场。,"For a NewsMediaOrganization, a statement on coverage priorities, including any public agenda or stance on issues.",NewsMediaOrganization,"CreativeWork, URL"
模型,model,产品的型号。与ProductModel的URL或模型标识符的文本表示一起使用。 ProductModel的URL可以来自外部来源。建议通过gtin8 / gtin13 / gtin14和mpn属性另外提供强大的产品标识符。,The model of the product. Use with the URL of a ProductModel or a textual representation of the model identifier. The URL of the ProductModel can be from an external source. It is recommended to additionally provide strong product identifiers via the gtin8/gtin13/gtin14 and mpn properties.,Product,"ProductModel, Text"
型号日期,modelDate,车辆模型的发布日期（通常用于区分同一品牌和型号的版本）。,The release date of a vehicle model (often used to differentiate versions of the same make and model).,Vehicle,Date
修改时间,modifiedTime,修改保留的日期和时间。,The date and time the reservation was modified.,Reservation,DateTime
每月最低还款额,monthlyMinimumRepaymentAmount,最低付款额是每月需要在信用卡对帐单上支付的最低金额。,The minimum payment is the lowest amount of money that one is required to pay on a credit card statement each month.,CreditCard,"MonetaryAmount, Number"
mpn,mpn,产品或报价所指产品的制造商零件编号（MPN）。,"The Manufacturer Part Number (MPN) of the product, or the product to which the offer refers.","Demand, Offer, Product",Text
多个值,multipleValues,该属性是否允许多个值。默认为false。,Whether multiple values are allowed for the property.  Default is false.,PropertyValueSpecification,Boolean
肌肉动作,muscleAction,肌肉产生的运动。,The movement the muscle generates.,Muscle,Text
音乐安排,musicArrangement,从构图派生的安排。,An arrangement derived from the composition.,MusicComposition,MusicComposition
音乐人,musicBy,配乐的作曲家。,The composer of the soundtrack.,"Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject","MusicGroup, Person"
音乐作品表,musicCompositionForm,作品的类型（例如序曲，奏鸣曲，交响曲等）。,"The type of composition (e.g. overture, sonata, symphony, etc.).",MusicComposition,Text
音乐小组成员,musicGroupMember,音乐小组的成员：例如John，Paul，George或Ringo。,"A member of a music group: for example, John, Paul, George, or Ringo.",MusicGroup,Person
音乐发行格式,musicReleaseFormat,此发行版的格式（使用的记录媒体的类型，即光盘，数字媒体，LP等）。,"Format of this release (the type of recording media used, ie. compact disc, digital media, LP, etc.).",MusicRelease,MusicReleaseFormatType
音乐键,musicalKey,此合成使用的键，模式或缩放。,"The key, mode, or scale this composition uses.",MusicComposition,Text
naics,naics,特定组织或业务人员的北美行业分类系统（NAICS）代码。,The North American Industry Classification System (NAICS) code for a particular organization or business person.,"Organization, Person",Text
名称,name,项目的名称。,The name of the item.,Thing,Text
命名位置,namedPosition,个人或组织作为组织一部分所扮演，执行或填补的职位。例如，SportsTeam中的运动员可能在名为“ Quarterback”的位置上比赛。,"A position played, performed or filled by a person or organization, as part of an organization. For example, an athlete in a SportsTeam might play in the position named 'Quarterback'.",Role,"Text, URL"
国籍,nationality,该人的国籍。,Nationality of the person.,Person,Country
自然进步,naturalProgression,如果不进行治疗并使其自然进展，则疾病的预期进展。,The expected progression of the condition if it is not treated and allowed to progress naturally.,MedicalCondition,Text
神经,nerve,与肌肉相关的潜在神经支配。,The underlying innervation associated with the muscle.,Muscle,Nerve
神经马达,nerveMotor,涉及肌肉控制的神经系统途径延伸。,The neurological pathway extension that involves muscle control.,Nerve,Muscle
净值,netWorth,通过从负债中减去资产计算得出的人的总财务价值。,The total financial value of the person as calculated by subtracting assets from liabilities.,Person,"MonetaryAmount, PriceSpecification"
新闻更新和指南,newsUpdatesAndGuidelines,指示包含新闻更新和准则的页面。这通常可能是（但不是必须如此）网站上包含SpecialAnnouncement标记的主页。,Indicates a page with news updates and guidelines. This could often be (but is not required to be) the main page containing SpecialAnnouncement markup on a site.,SpecialAnnouncement,"URL, WebContent"
下一个项目,nextItem,指向当前项之后的ListItem的链接。,A link to the ListItem that follows the current one.,ListItem,ListItem
没有附例政策,noBylinesPolicy,对于NewsMediaOrganization或其他与新闻相关的组织，该声明说明何时未在标题行中命名文章作者。,"For a NewsMediaOrganization or other news-related Organization, a statement explaining when authors of articles are not named in bylines.",NewsMediaOrganization,"CreativeWork, URL"
不平等,nonEqual,定性值的这种排序关系表明主题不等于对象。,This ordering relation for qualitative values indicates that the subject is not equal to the object.,QualitativeValue,QualitativeValue
非专有名称,nonProprietaryName,该药物或补品的通用名称。,The generic name of this drug or supplement.,"DietarySupplement, Drug",Text
非营利状态,nonprofitStatus,非营利状态表示非营利组织在其主要营业地点的法律地位。,nonprofit Status indicates the legal status of a non-profit organization in its primary place of business.,Organization,NonprofitType
普通范围,normalRange,如果适用，典型患者的可接受值范围。,"Range of acceptable values for a typical patient, when applicable.",MedicalTest,"MedicalEnumeration, Text"
nsn,nsn,表示产品的北约库存号（nsn）。,Indicates the NATO stock number (nsn) of a Product.,Product,Text
成年人数,numAdults,住在该单位的成人人数。,The number of adults staying in the unit.,LodgingReservation,"Integer, QuantitativeValue"
儿童人数,numChildren,留在该单位的儿童人数。,The number of children staying in the unit.,LodgingReservation,"Integer, QuantitativeValue"
约束数,numConstraints,指示为特定的StatisticalPopulation定义的约束数量（不计算种群类型）。这可以帮助应用程序了解他们是否可以访问StatisticalPopulation的足够完整的描述。,Indicates the number of constraints (not counting populationType) defined for a particular StatisticalPopulation. This helps applications understand if they have access to a sufficiently complete description of a StatisticalPopulation.,StatisticalPopulation,Integer
音轨数,numTracks,此专辑或播放列表中的曲目数。,The number of tracks in this album or playlist.,MusicPlaylist,Integer
住宿单位数,numberOfAccommodationUnits,指示ApartmentComplex中住宿单元的总数（可用加不可用），或特定FloorPlan（在其特定ApartmentComplex中）的住宿单元数。另请参见numberOfAvailableAccommodationUnits。,"Indicates the total (available plus unavailable) number of accommodation units in an ApartmentComplex, or the number of accommodation units for a specific FloorPlan (within its specific ApartmentComplex). See also numberOfAvailableAccommodationUnits.","ApartmentComplex, FloorPlan",QuantitativeValue
安全气囊数量,numberOfAirbags,车辆中安全气囊的数量或类型。,The number or type of airbags in the vehicle.,Vehicle,"Number, Text"
可用住宿数量,numberOfAvailableAccommodationUnits,指示ApartmentComplex中可用住宿单位的数量，或特定FloorPlan（在其特定ApartmentComplex中）的住宿单位的数量。另请参见numberOfAccommodationUnits。,"Indicates the number of available accommodation units in an ApartmentComplex, or the number of accommodation units for a specific FloorPlan (within its specific ApartmentComplex). See also numberOfAccommodationUnits.","ApartmentComplex, FloorPlan",QuantitativeValue
轴数,numberOfAxles,轴数典型单位代码C62,The number of axles.Typical unit code(s): C62,Vehicle,"Number, QuantitativeValue"
浴室总数,numberOfBathroomsTotal,根据RESO中记录的房地产惯例，某些住宿中浴室的总数为整数：“浴室数量的简单总和。例如，对于具有两个完整浴室和一个半浴室的物业，浴室总数将为3.”。另请参见numberOfRooms。,"The total integer number of bathrooms in a some Accommodation, following real estate conventions as documented in RESO: ""The simple sum of the number of bathrooms. For example for a property with two Full Bathrooms and one Half Bathroom, the Bathrooms Total Integer will be 3."". See also numberOfRooms.","Accommodation, FloorPlan",Integer
卧室数,numberOfBedrooms,某些Accommodation，ApartmentComplex或FloorPlan中卧室总数的整数。,"The total integer number of bedrooms in a some Accommodation, ApartmentComplex or FloorPlan.","Accommodation, ApartmentComplex, FloorPlan","Number, QuantitativeValue"
床数,numberOfBeds,HotelRoom，Suite，House或Apartment中可用的指定床型数量。,"The quantity of the given bed type available in the HotelRoom, Suite, House, or Apartment.",BedDetails,Number
学分数量,numberOfCredits,课程授予或完成“教育职业计划”所需的学分或学分数量。,The number of credits or units awarded by a Course or required to complete an EducationalOccupationalProgram.,"Course, EducationalOccupationalProgram","Integer, StructuredValue"
门数,numberOfDoors,门数量典型单位代码C62,The number of doors.Typical unit code(s): C62,Vehicle,"Number, QuantitativeValue"
在职员工人数,numberOfEmployees,组织中的员工人数，例如商业。,The number of employees in an organization e.g. business.,"BusinessAudience, Organization",QuantitativeValue
剧集数,numberOfEpisodes,本季或系列中的剧集数。,The number of episodes in this season or series.,"CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries",Integer
前进档数,numberOfForwardGears,可用于车辆传动系统的前进挡总数。典型单位代码：C62,The total number of forward gears available for the transmission system of the vehicle.Typical unit code(s): C62,Vehicle,"Number, QuantitativeValue"
完整浴室数量,numberOfFullBathrooms,完整浴室数量-住宿中完整浴室和¾浴室的总数。这对应于RESO中的BathroomsFull字段。,Number of full bathrooms - The total number of full and ¾ bathrooms in an Accommodation. This corresponds to the BathroomsFull field in RESO.,"Accommodation, FloorPlan",Number
项目数,numberOfItems,ItemList中的项目数。请注意，某些描述可能无法完全描述列表中的所有项目（例如，多页分页）；在这种情况下，numberOfItems将用于整个列表。,"The number of items in an ItemList. Note that some descriptions might not fully describe all items in a list (e.g., multi-page pagination); in such cases, the numberOfItems would be for the entire list.",ItemList,Integer
